"Day","Minute","Algae_density","fish_number","Fish_density","biomass_fish","Fish_biomass_density","Total_bites_per_minute","fish_eating_minute","per_capita_bites","total_bites_per_trial","total_amount_resource_consumed","Sequence","initial_weight","control_before","control_after","weight_algae_after_trial","avgtime","factor_loss","consumption_rate"
"17/06/2019",1,0.025,50,0.084,5330,8.959,11,6,2,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.0713274336283186
"17/06/2019",2,0.025,50,0.084,5330,8.959,6,3,2,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.0713274336283186
"17/06/2019",3,0.025,50,0.084,5330,8.959,14,3,5,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.178318584070796
"17/06/2019",4,0.025,50,0.084,5330,8.959,8,1,8,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.285309734513274
"17/06/2019",5,0.025,50,0.084,5330,8.959,4,2,2,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.0713274336283186
"17/06/2019",6,0.025,50,0.084,5330,8.959,0,0,0,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0
"17/06/2019",7,0.025,50,0.084,5330,8.959,18,3,6,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.213982300884956
"17/06/2019",8,0.025,50,0.084,5330,8.959,5,1,5,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.178318584070796
"17/06/2019",9,0.025,50,0.084,5330,8.959,5,1,5,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.178318584070796
"17/06/2019",10,0.025,50,0.084,5330,8.959,0,0,0,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0
"17/06/2019",11,0.025,50,0.084,5330,8.959,4,3,1,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.0356637168141593
"17/06/2019",12,0.025,50,0.084,5330,8.959,0,0,0,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0
"17/06/2019",13,0.025,50,0.084,5330,8.959,4,1,4,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.142654867256637
"17/06/2019",14,0.025,50,0.084,5330,8.959,12,2,6,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.213982300884956
"17/06/2019",15,0.025,50,0.084,5330,8.959,22,3,7,113,4.03,5,15.71,15.78,13.03,10.83,15,0.826,0.249646017699115
"17/06/2019",1,0.05,50,0.084,5330,8.959,39,10,4,119,5.404,4,30.55,30.95,23.96,23.57,15,0.774,0.181647058823529
"17/06/2019",2,0.05,50,0.084,5330,8.959,22,5,4,119,5.404,4,30.55,30.95,23.96,23.57,15,0.774,0.181647058823529
"17/06/2019",3,0.05,50,0.084,5330,8.959,2,1,2,119,5.404,4,30.55,30.95,23.96,23.57,15,0.774,0.0908235294117647
"17/06/2019",4,0.05,50,0.084,5330,8.959,4,1,4,119,5.404,4,30.55,30.95,23.96,23.57,15,0.774,0.181647058823529
"17/06/2019",5,0.05,50,0.084,5330,8.959,17,2,8,119,5.404,4,30.55,30.95,23.96,23.57,15,0.774,0.363294117647059
