"Day","Algae_density","Fish_density ","Minute","Total_bites_per_minute","Sequence","fish_eating_minute"
"13/06/2019",15,105,1,71,1,7
"13/06/2019",15,105,2,25,1,8
"13/06/2019",15,105,3,67,1,15
"13/06/2019",15,105,4,13,1,4
"13/06/2019",15,105,5,3,1,1
"13/06/2019",15,105,6,0,1,0
"13/06/2019",15,105,7,2,1,1
"13/06/2019",15,105,8,5,1,1
"13/06/2019",15,105,9,4,1,1
"13/06/2019",15,105,10,3,1,1
"13/06/2019",15,105,11,2,1,1
"13/06/2019",15,105,12,5,1,2
"13/06/2019",15,105,13,1,1,1
"13/06/2019",15,105,14,2,1,1
"13/06/2019",15,105,15,40,1,1
"13/06/2019",30,105,1,81,2,11
"13/06/2019",30,105,2,26,2,3
"13/06/2019",30,105,3,61,2,6
"13/06/2019",30,105,4,5,2,3
"13/06/2019",30,105,5,48,2,2
"13/06/2019",30,105,6,15,2,2
"13/06/2019",30,105,7,24,2,4
"13/06/2019",30,105,8,11,2,4
"13/06/2019",30,105,9,55,2,4
"13/06/2019",30,105,10,63,2,7
"13/06/2019",30,105,11,0,2,0
"13/06/2019",30,105,12,28,2,4
"13/06/2019",30,105,13,0,2,0
"13/06/2019",30,105,14,7,2,3
"13/06/2019",30,105,15,26,2,5
"13/06/2019",45,105,1,48,3,9
"13/06/2019",45,105,2,0,3,0
"13/06/2019",45,105,3,7,3,3
"13/06/2019",45,105,4,2,3,1
"13/06/2019",45,105,5,0,3,0
"13/06/2019",45,105,6,8,3,1
"13/06/2019",45,105,7,12,3,1
"13/06/2019",45,105,8,9,3,1
"13/06/2019",45,105,9,0,3,0
"13/06/2019",45,105,10,0,3,0
"13/06/2019",45,105,11,1,3,1
"13/06/2019",45,105,12,3,3,1
"13/06/2019",45,105,13,17,3,2
"13/06/2019",45,105,14,2,3,1
"13/06/2019",45,105,15,5,3,2
"13/06/2019",60,105,1,73,4,15
"13/06/2019",60,105,2,51,4,13
"13/06/2019",60,105,3,43,4,11
"13/06/2019",60,105,4,5,4,3
"13/06/2019",60,105,5,31,4,6
"13/06/2019",60,105,6,42,4,3
"13/06/2019",60,105,7,30,4,6
"13/06/2019",60,105,8,7,4,3
"13/06/2019",60,105,9,40,4,4
"13/06/2019",60,105,10,0,4,0
"13/06/2019",60,105,11,17,4,6
"13/06/2019",60,105,12,24,4,6
"13/06/2019",60,105,13,25,4,2
"13/06/2019",60,105,14,31,4,9
"13/06/2019",60,105,15,16,4,3
"14/06/2019",15,63,1,79,5,19
"14/06/2019",15,63,2,43,5,6
"14/06/2019",15,63,3,9,5,2
"14/06/2019",15,63,4,15,5,4
"14/06/2019",15,63,5,12,5,2
"14/06/2019",15,63,6,19,5,2
"14/06/2019",15,63,7,5,5,2
"14/06/2019",15,63,8,0,5,0
"14/06/2019",15,63,9,17,5,7
"14/06/2019",15,63,10,27,5,4
"14/06/2019",15,63,11,9,5,2
"14/06/2019",15,63,12,2,5,1
"14/06/2019",15,63,13,0,5,0
"14/06/2019",15,63,14,28,5,4
"14/06/2019",15,63,15,10,5,1
"14/06/2019",30,63,1,65,3,11
"14/06/2019",30,63,2,39,3,4
"14/06/2019",30,63,3,33,3,3
"14/06/2019",30,63,4,2,3,1
"14/06/2019",30,63,5,25,3,4
"14/06/2019",30,63,6,10,3,3
"14/06/2019",30,63,7,26,3,4
"14/06/2019",30,63,8,0,3,0
"14/06/2019",30,63,9,25,3,2
"14/06/2019",30,63,10,24,3,3
"14/06/2019",30,63,11,8,3,2
"14/06/2019",30,63,12,2,3,1
"14/06/2019",30,63,13,9,3,1
"14/06/2019",30,63,14,0,3,0
"14/06/2019",30,63,15,20,3,3
"14/06/2019",45,63,1,76,1,24
"14/06/2019",45,63,2,38,1,12
"14/06/2019",45,63,3,17,1,3
"14/06/2019",45,63,4,16,1,2
"14/06/2019",45,63,5,22,1,4
"14/06/2019",45,63,6,21,1,4
"14/06/2019",45,63,7,15,1,3
"14/06/2019",45,63,8,5,1,2
"14/06/2019",45,63,9,23,1,5
"14/06/2019",45,63,10,16,1,4
"14/06/2019",45,63,11,17,1,4
"14/06/2019",45,63,12,27,1,4
"14/06/2019",45,63,13,0,1,0
