"initial_weight","control_before","control_after","weight_algae_after_trial","fish_number","biomass_fish","avgtime"
15.51,15.43,14.22,8.96,105,17028,15
30.89,30.71,28,15,105,17028,15
45.78,45.76,39.38,31.48,105,17028,15
60.25,60.18,56.83,39.09,105,17028,15
15.73,15.37,12.86,6.27,63,8814,15
30.44,30.68,26.96,19.01,63,8814,15
45.73,45.55,37.95,23.53,63,8814,15
60.7,60.54,49.07,39.41,63,8814,15
75.5,75.54,64.62,61.1,63,8814,15
15.71,15.78,13.03,10.83,50,5330,15
30.55,30.95,23.96,23.57,50,5330,15
45.25,45.39,34.28,31.24,50,5330,15
60.11,60.2,37.16,32.73,50,5330,15
75.57,75.64,52.11,48.94,50,5330,15
15.23,15.53,15.52,13.43,90,11201,15
30.73,30.22,30.12,22.95,90,11201,15
45.89,45.83,42.38,36.27,90,11201,15
60.65,60.7,53.95,47.29,90,11201,15
75.69,75.32,66.34,62.13,90,11201,15
15.18,15.32,15.29,12.19,79,9035,15
30.6,30.15,30.1,28.02,79,9035,15
45.4,45.84,45.7,37.2,79,9035,15
60.45,60.59,55.81,52.01,79,9035,15
75.95,75.84,72.4,69.58,79,9035,15
