"Day","ID_experiment","Sequence_order","Sequence","Minute","N","P","Fish_number","Fish_biomass","total_bites_trial","Total_bites_minute","fish_eating_minute","initial_weight","control_before","control_after","final_weight","A_cons_tot","A_cons_min","C","P_biomass_kg_m2"
"17/06/2019",1,"5_4_2_1_3",5,1,0.025,0.084,50,5330,113,11,6,15.71,15.78,13.03,10.83,4.02955640050697,0.392257702704218,0.065376283784036,0.009
"17/06/2019",1,"5_4_2_1_3",5,2,0.025,0.084,50,5330,113,6,3,15.71,15.78,13.03,10.83,4.02955640050697,0.213958746929574,0.071319582309858,0.009
"17/06/2019",1,"5_4_2_1_3",5,3,0.025,0.084,50,5330,113,14,3,15.71,15.78,13.03,10.83,4.02955640050697,0.499237076169005,0.166412358723002,0.009
"17/06/2019",1,"5_4_2_1_3",5,4,0.025,0.084,50,5330,113,8,1,15.71,15.78,13.03,10.83,4.02955640050697,0.285278329239432,0.285278329239432,0.009
"17/06/2019",1,"5_4_2_1_3",5,5,0.025,0.084,50,5330,113,4,2,15.71,15.78,13.03,10.83,4.02955640050697,0.142639164619716,0.071319582309858,0.009
"17/06/2019",1,"5_4_2_1_3",5,6,0.025,0.084,50,5330,113,0,0,15.71,15.78,13.03,10.83,4.02955640050697,0,0,0.009
"17/06/2019",1,"5_4_2_1_3",5,7,0.025,0.084,50,5330,113,18,3,15.71,15.78,13.03,10.83,4.02955640050697,0.641876240788721,0.213958746929574,0.009
"17/06/2019",1,"5_4_2_1_3",5,8,0.025,0.084,50,5330,113,5,1,15.71,15.78,13.03,10.83,4.02955640050697,0.178298955774645,0.178298955774645,0.009
"17/06/2019",1,"5_4_2_1_3",5,9,0.025,0.084,50,5330,113,5,1,15.71,15.78,13.03,10.83,4.02955640050697,0.178298955774645,0.178298955774645,0.009
"17/06/2019",1,"5_4_2_1_3",5,10,0.025,0.084,50,5330,113,0,0,15.71,15.78,13.03,10.83,4.02955640050697,0,0,0.009
"17/06/2019",1,"5_4_2_1_3",5,11,0.025,0.084,50,5330,113,4,3,15.71,15.78,13.03,10.83,4.02955640050697,0.142639164619716,0.047546388206572,0.009
"17/06/2019",1,"5_4_2_1_3",5,12,0.025,0.084,50,5330,113,0,0,15.71,15.78,13.03,10.83,4.02955640050697,0,0,0.009
"17/06/2019",1,"5_4_2_1_3",5,13,0.025,0.084,50,5330,113,4,1,15.71,15.78,13.03,10.83,4.02955640050697,0.142639164619716,0.142639164619716,0.009
"17/06/2019",1,"5_4_2_1_3",5,14,0.025,0.084,50,5330,113,12,2,15.71,15.78,13.03,10.83,4.02955640050697,0.427917493859147,0.213958746929574,0.009
"17/06/2019",1,"5_4_2_1_3",5,15,0.025,0.084,50,5330,113,22,3,15.71,15.78,13.03,10.83,4.02955640050697,0.784515405408437,0.261505135136146,0.009
"17/06/2019",2,"5_4_2_1_3",4,1,0.05,0.084,50,5330,119,39,10,30.55,30.95,23.96,23.57,5.40357996768982,1.77092116588154,0.177092116588154,0.009
"17/06/2019",2,"5_4_2_1_3",4,2,0.05,0.084,50,5330,119,22,5,30.55,30.95,23.96,23.57,5.40357996768982,0.998981170497278,0.199796234099456,0.009
"17/06/2019",2,"5_4_2_1_3",4,3,0.05,0.084,50,5330,119,2,1,30.55,30.95,23.96,23.57,5.40357996768982,0.090816470045207,0.090816470045207,0.009
"17/06/2019",2,"5_4_2_1_3",4,4,0.05,0.084,50,5330,119,4,1,30.55,30.95,23.96,23.57,5.40357996768982,0.181632940090414,0.181632940090414,0.009
"17/06/2019",2,"5_4_2_1_3",4,5,0.05,0.084,50,5330,119,17,2,30.55,30.95,23.96,23.57,5.40357996768982,0.77193999538426,0.38596999769213,0.009
"17/06/2019",2,"5_4_2_1_3",4,6,0.05,0.084,50,5330,119,3,1,30.55,30.95,23.96,23.57,5.40357996768982,0.136224705067811,0.136224705067811,0.009
"17/06/2019",2,"5_4_2_1_3",4,7,0.05,0.084,50,5330,119,0,0,30.55,30.95,23.96,23.57,5.40357996768982,0,0,0.009
"17/06/2019",2,"5_4_2_1_3",4,8,0.05,0.084,50,5330,119,0,0,30.55,30.95,23.96,23.57,5.40357996768982,0,0,0.009
"17/06/2019",2,"5_4_2_1_3",4,9,0.05,0.084,50,5330,119,9,3,30.55,30.95,23.96,23.57,5.40357996768982,0.408674115203432,0.136224705067811,0.009
"17/06/2019",2,"5_4_2_1_3",4,10,0.05,0.084,50,5330,119,5,2,30.55,30.95,23.96,23.57,5.40357996768982,0.227041175113018,0.113520587556509,0.009
"17/06/2019",2,"5_4_2_1_3",4,11,0.05,0.084,50,5330,119,0,0,30.55,30.95,23.96,23.57,5.40357996768982,0,0,0.009
"17/06/2019",2,"5_4_2_1_3",4,12,0.05,0.084,50,5330,119,0,0,30.55,30.95,23.96,23.57,5.40357996768982,0,0,0.009
"17/06/2019",2,"5_4_2_1_3",4,13,0.05,0.084,50,5330,119,14,3,30.55,30.95,23.96,23.57,5.40357996768982,0.63571529031645,0.21190509677215,0.009
"17/06/2019",2,"5_4_2_1_3",4,14,0.05,0.084,50,5330,119,2,1,30.55,30.95,23.96,23.57,5.40357996768982,0.090816470045207,0.090816470045207,0.009
"17/06/2019",2,"5_4_2_1_3",4,15,0.05,0.084,50,5330,119,2,1,30.55,30.95,23.96,23.57,5.40357996768982,0.090816470045207,0.090816470045207,0.009
"17/06/2019",3,"5_4_2_1_3",2,1,0.076,0.084,50,5330,182,28,6,45.25,45.39,34.28,31.24,10.5808063450099,1.62781636077076,0.271302726795126,0.009
"17/06/2019",3,"5_4_2_1_3",2,2,0.076,0.084,50,5330,182,27,6,45.25,45.39,34.28,31.24,10.5808063450099,1.5696800621718,0.2616133436953,0.009
"17/06/2019",3,"5_4_2_1_3",2,3,0.076,0.084,50,5330,182,13,4,45.25,45.39,34.28,31.24,10.5808063450099,0.755771881786423,0.188942970446606,0.009
"17/06/2019",3,"5_4_2_1_3",2,4,0.076,0.084,50,5330,182,12,3,45.25,45.39,34.28,31.24,10.5808063450099,0.697635583187467,0.232545194395822,0.009
"17/06/2019",3,"5_4_2_1_3",2,5,0.076,0.084,50,5330,182,8,1,45.25,45.39,34.28,31.24,10.5808063450099,0.465090388791645,0.465090388791645,0.009
"17/06/2019",3,"5_4_2_1_3",2,6,0.076,0.084,50,5330,182,29,2,45.25,45.39,34.28,31.24,10.5808063450099,1.68595265936971,0.842976329684856,0.009
